City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,san jose,32,PH,1552382072,74,15.79,120.99,81.45,1.48
88,narsaq,80,GL,1552380600,68,60.91,-46.05,24.8,17.22
89,carnarvon,0,ZA,1552382186,40,-30.97,22.13,69.3,12.44
90,calama,0,CL,1552377600,45,-22.46,-68.93,48.2,14.99
91,bonavista,8,CA,1552381339,88,48.65,-53.11,35.01,11.01
92,alice springs,20,AU,1552379400,17,-23.7,133.88,100.4,14.99
93,hobyo,8,SO,1552382187,65,5.35,48.53,85.19,16.91
94,hobart,75,AU,1552382133,71,-42.88,147.33,52.0,11.41
95,barrow,88,AR,1552382187,84,-38.31,-60.23,60.44,3.6
96,nikolskoye,75,RU,1552382135,79,59.7,30.79,28.99,11.18
97,mataura,36,NZ,1552381807,92,-46.19,168.86,59.0,4.0
98,lagdo,0,CM,1552381200,13,9.06,13.67,93.2,5.84
99,saldanha,44,PT,1552382188,59,41.42,-6.55,51.48,3.94
100,gao,0,ML,1552382188,23,16.28,-0.04,75.96,13.56
101,praia da vitoria,75,PT,1552382104,93,38.73,-27.07,55.0,23.62
102,manyana,75,AU,1552382143,73,-35.26,150.51,75.99,14.99
103,kulhudhuffushi,8,MV,1552382188,100,6.62,73.07,83.48,9.19
104,haines junction,24,CA,1552382188,71,60.75,-137.51,9.68,2.71
105,vryburg,0,ZA,1552382189,47,-26.96,24.73,81.14,22.84
106,hithadhoo,36,MV,1552382189,100,-0.6,73.08,83.16,9.75
107,port elizabeth,1,US,1552381986,48,39.31,-74.98,41.0,9.17
108,valparaiso,1,US,1552381929,85,41.47,-87.06,30.2,2.82
109,sarankhola,0,BD,1552382189,61,22.31,89.79,90.14,5.73
110,ancud,68,CL,1552377600,100,-41.87,-73.83,44.6,3.36
111,lompoc,1,US,1552381905,66,34.64,-120.46,55.0,5.82
112,kununurra,20,AU,1552379400,37,-15.77,128.74,98.6,3.36
113,chitungwiza,0,ZW,1552382190,43,-18.01,31.07,78.66,9.19
114,rapid valley,1,US,1552381998,67,44.06,-103.15,35.6,10.42
115,rongcheng,0,CN,1552382135,70,37.16,122.42,41.0,15.9
116,bakaly,92,RU,1552382190,96,55.18,53.8,34.74,11.21
117,mahebourg,75,MU,1552382046,66,-20.41,57.7,87.01,5.82
118,koslan,76,RU,1552382191,79,63.46,48.9,31.91,3.71
119,cherskiy,64,RU,1552382191,65,68.75,161.3,-8.73,2.26
120,mishelevka,88,RU,1552382191,56,52.86,103.17,35.82,3.83
121,lata,8,IN,1552382191,68,30.78,78.62,52.74,1.92
